,Size,price,CleanPrice,efficiency,CostPerKW,IncentivePct,State,zip,Year,ResidentialRate,SolarRadiation,Month,Date,ConstructionPriceIndex,ROIYears
0,5.25,24727.5,22727.5,0.155279503,4329.047619047619,0.08088160954402993,MA,2721,2014,17.08,4.343846153846154,6,2014-06-01,108.8,15.985903860654883
1,5.355,27738.9,27738.9,0.157407407,5180.0,0.0,MA,1832,2014,17.08,4.343846153846154,6,2014-06-01,108.8,19.128221559366825
2,4.845,24605.0,24605.0,0.157407407,5078.43137254902,0.0,MA,1801,2014,17.08,4.343846153846154,6,2014-06-01,108.8,18.753158391536104
3,9.0,42390.0,40390.0,0.155279503,4487.777777777777,0.047180938900684116,MA,2703,2014,17.08,4.343846153846154,6,2014-06-01,108.8,16.572047807439425
4,11.25,55125.0,53125.0,0.153374233,4722.222222222223,0.036281179138322,MA,2743,2014,17.08,4.343846153846154,6,2014-06-01,108.8,17.437782416840196
5,6.885,35664.3,35664.3,0.157407407,5180.000000000001,0.0,MA,1915,2014,17.08,4.343846153846154,6,2014-06-01,108.8,19.12822155936683
6,8.28,43222.0,41222.0,0.211656442,4978.502415458936,0.046272731479339226,MA,2125,2014,17.08,4.343846153846154,6,2014-06-01,108.8,18.384150045702988
7,4.0,20500.0,20500.0,0.12109375,5125.0,0.0,MA,1749,2014,17.08,4.343846153846154,6,2014-06-01,108.8,18.925122681805977
8,3.825,19813.5,19813.5,0.157407407,5180.0,0.0,MA,1904,2014,17.08,4.343846153846154,6,2014-06-01,108.8,19.12822155936682
9,3.5,20800.0,19400.0,0.15432098800000002,5542.857142857143,0.0673076923076923,MA,1028,2014,17.08,4.343846153846154,6,2014-06-01,108.8,20.46814662171629
10,10.0,44900.0,42900.0,0.15432098800000002,4290.0,0.044543429844098,MA,1267,2014,17.08,4.343846153846154,6,2014-06-01,108.8,15.841712449745884
11,5.695,40000.0,36000.0,0.205521472,6321.334503950834,0.1,MA,2703,2014,17.08,4.343846153846154,6,2014-06-01,108.8,23.342835317073693
12,2.5,12250.0,11250.0,0.153374233,4500.0,0.08163265306122447,MA,2050,2014,17.08,4.343846153846154,6,2014-06-01,108.8,16.61718089134184
