SystemID,InstallationDate,SystemSize,TotalInstalledPrice,SalesTaxCost,RebateOrGrant,PerformanceBasedIncentiveAnnualPayment,PerformanceBasedIncentivesDuration,CustomerSegment,ZipCode,State,ModuleEfficiency
CO-Xcel-9261,8/30/2012,9.8,55609.11,740.3008791,-9999,0,0,-9999,-9999,CO,-9999
MA_DOER_CEC_36409,6/18/2014,5.25,24727.5,0,2000,0,0,RES,2721,MA,0.155279503
CA_LADWP_11890,1/24/2014,11.34773152,71148,1289.214212,11915,0,0,RES,91352,CA,0.188957055
CA_SMUD_1074,12/9/2010,4.7,18000,1319.266331,0,1788.6,5,RES,95608,CA,0.144171779
NY_NYSERDA_78622,12/30/2015,4.51,25318.1,0,1734,0,0,RES,10977,NY,0.165766005
MA_DOER_CEC_37063,10/5/2016,2.289,11906,0,-9999,0,0,RES,1062,MA,-9999
DE_DEC_492,10/30/2008,3.36,19100,1622.528654,9488.12,0,0,RES,19960,DE,-9999
CA-NEM-673763,9/15/2014,4.25,-9999,-9999,0,0,0,RES,91901,CA,0.155279503
MO-Kansas City Power & Light-1117,4/22/2014,9.86,-9999,-9999,-9999,0,0,RES,64030,MO,-9999
NY_NYSERDA_8730,9/22/2014,19.44,68328.66,0,19440,0,0,RES,14512,NY,-9999
NH_PUC_1777,8/28/2015,8.235,35506,0,3750,0,0,RES,3290,NH,-9999
CO-Xcel-11454,4/17/2012,6.21,36124,469.1090265,-9999,0,0,-9999,-9999,CO,-9999
CA_LADWP_5214,7/9/2012,1.077075755,12000,141.4600366,1745,0,0,RES,90034,CA,0.161290323
CT_CGB_13442,8/25/2015,6.5,19965.18,0,0,0,0,RES,6053,CT,0.158536585
MD_MEA_21121,7/27/2007,1.67,24907,895.007358,3000,0,0,RES,-9999,MD,-9999
NY_NYSERDA_24419,6/16/2017,4.8,23068.8,0,1920,0,0,RES,10310,NY,0.195121951
CA_SMUD_1241,1/27/2011,2.24,-9999,-9999,0,0,0,RES,95673,CA,-9999
MA_DOER_CEC_4843,11/6/2013,4.68,19767,0,1872,0,0,RES,1060,MA,0.160493827
CA_LADWP_85,2/13/2002,3.6,29500,1385.345722,19440,0,0,RES,91311,CA,-9999
CA-NEM-608883,7/22/2016,4.5,9862,427.7873894,0,0,0,RES,92114,CA,0.138888889
NY_NYSERDA_20449,1/7/2016,8.32,26540.8,0,4992,0,0,RES,13825,NY,0.156626506
NM-PNM-8352,11/15/2016,4.51,-9999,-9999,-9999,0,0,RES,87120,NM,-9999
NY_NYSERDA_62288,9/29/2016,10.35,40937.73,0,0,0,0,RES,11758,NY,0.211656442
MA_DOER_CEC_29950,7/21/2016,3.57,12602.1,0,-9999,0,0,RES,2301,MA,-9999
MA_DOER_CEC_23024,2/2/2015,3.3,17787,0,2145,0,0,RES,2667,MA,-9999
VT_REIP_292,6/3/2008,4,33929,0,7000,0,0,RES,5488,VT,-9999
CA_LADWP_35846,7/27/2017,10.2428112,65000,951.2170549,2561,0,0,RES,91325,CA,0.194610778
CO-Xcel-6760,5/11/2009,4.83,38764,1081.610425,-9999,0,0,-9999,-9999,CO,-9999
CA_SMUD_4780,2/27/2014,6,29400,681.6591718,588,0,0,RES,95843,CA,0.161290323
CA-NEM-690847,2/7/2015,4.05,16200,423.7130616,647,0,0,RES,92128,CA,-9999
MD_MEA_13429,12/1/2012,10.4,47500,0,1000,0,0,RES,-9999,MD,-9999
CO-Xcel-8647,5/22/2012,3.36,18500,253.8174443,-9999,0,0,-9999,-9999,CO,-9999
MA_DOER_CEC_78115,6/20/2007,2.992,20566,0,7480,0,0,RES,2472,MA,0.126176239
NY_NYSERDA_52637,4/3/2015,10.2,53550,0,3621.25,0,0,RES,11746,NY,-9999
CT_CGB_23491,6/28/2017,5.7,16840.88,0,0,0,0,RES,6320,CT,0.173780488
CA_SMUD_13607,6/25/2016,2.6,13312,247.1660472,500,0,0,RES,95843,CA,0.163522013
UT_OED_3286,7/1/2015,7,26550,589.1900097,-9999,0,0,RES,-9999,UT,-9999
NY_NYSERDA_21674,8/5/2016,5.72,24400,0,2288,0,0,RES,14882,NY,0.156626506
CA-NEM-633522,10/25/2017,4.68,17550,434.6166036,0,0,0,RES,92081,CA,0.208092486
CA-NEM-651978,4/23/2013,6.86,34986,821.6719397,1020,0,0,RES,92040,CA,0.151234568
MA_DOER_CEC_48995,12/29/2014,7.65,42075,0,-9999,0,0,RES,1106,MA,-9999
MA_DOER_CEC_49031,3/6/2014,7,28000,0,-9999,0,0,RES,1515,MA,0.154320988
NY_NYSERDA_77459,1/5/2016,16.96,94976,0,10176,0,0,RES,12566,NY,0.165766005
NY_NYSERDA_16472,2/4/2015,5.88,25989.6,0,4381,0,0,RES,12721,NY,0.151234568
CT_CGB_8304,1/23/2015,7.395,29064.17,0,0,0,0,RES,6516,CT,0.164516129
NY_NYSERDA_48325,1/8/2014,13.73,63182,0,15303.8,0,0,RES,11937,NY,-9999
NY_NYSERDA_27243,4/6/2017,7.25,36037.5,0,1943,0,0,RES,12304,NY,0.176829268
MA_DOER_CEC_72935,2/22/2017,5.94,23581.8,0,-9999,0,0,RES,2645,MA,0.165122466
NY_NYSERDA_43728,2/27/2009,5.62,44795,0,19656,0,0,RES,11776,NY,-9999
CA_LADWP_19150,10/23/2014,1.279292383,7803,145.340231,512,0,0,RES,90061,CA,0.160377358
CT_CGB_13898,10/19/2015,7.8,32760,0,0,0,0,RES,6450,CT,0.160493827
CA-NEM-604007,5/24/2016,5.886,28813,559.5459053,0,0,0,RES,92056,CA,0.200525659
CO-Xcel-29185,4/4/2015,2,9400,116.7527836,-9999,0,0,-9999,-9999,CO,-9999
CA-NEM-656328,7/8/2013,6.37,-9999,-9999,0,0,0,RES,92071,CA,0.151234568
NY_NYSERDA_46973,3/21/2012,7.2,36926.4,0,11620,0,0,RES,11772,NY,-9999
UT_OED_8235,3/25/2016,6.24,10477,480.4984698,-9999,0,0,RES,-9999,UT,-9999
CA-NEM-608151,11/3/2016,1.04,3432,98.86641888,0,0,0,COM,92109,CA,0.167741935
CA-NEM-637256,12/29/2017,7.2,25992,668.6409287,0,0,0,RES,92128,CA,0.208092486
CA-NEM-652672,1/31/2013,3.08,15323,368.9139321,7092,0,0,RES,91914,CA,0.153846154
TX_CPS_1643,7/9/2015,6,20640,600.8779269,8370.95,0,0,RES,78227,TX,0.155279503
OR_DOE_12273,2/5/2016,3.48,12990,0,-9999,0,0,RES,97401,OR,-9999
TX_AE_2202,3/13/2013,6.86,28616,799.91089,13239.8,0,0,RES,-9999,TX,-9999
MA_DOER_CEC_27765,9/10/2015,7.28,40768,0,-9999,0,0,RES,2631,MA,-9999
NY_NYSERDA_43007,5/3/2007,3.06,26655.8,0,11475,0,0,RES,11946,NY,-9999
CA-NEM-692648,6/24/2015,4.68,23961,489.6239823,0,0,0,RES,91913,CA,0.163522013
TX_CPS_5800,8/4/2016,4.41,16084.88,405.0634942,4838.77,0,0,RES,78213,TX,0.192073171
NY_NYSERDA_9984,3/6/2015,4.24,18083.45,0,4235,0,0,RES,11411,NY,0.164516129
CA-NEM-696636,8/24/2015,9.35,21894,978.2017595,0,0,0,RES,92019,CA,0.166666667
Ameren_2820,6/24/2014,25.5,-9999,-9999,-9999,0,0,NON-RES,63385,MO,-9999
MA_DOER_CEC_25656,10/20/2014,7.035,53020.7,0,4000,0,0,RES,2360,MA,0.205521472
NY_NYSERDA_61845,8/19/2016,14.18,44082,0,2835,0,0,RES,11776,NY,0.192073171
CA-NEM-709664,12/21/2015,5.8,225478,606.7989524,0,0,0,RES,92024,CA,-9999
CT_CGB_23411,8/30/2017,15.4,62100,0,0,0,0,RES,6516,CT,0.181846994
DCPSC_1949,11/23/2015,5,-9999,-9999,-9999,0,0,-9999,20003,DC,-9999
CA-NEM-650220,10/18/2012,4.9,23540,643.5519284,838,0,0,RES,92129,CA,0.15408805
MA_DOER_CEC_20644,3/18/2015,5.035,27793.2,0,-9999,0,0,RES,2645,MA,-9999
NM-PNM-11578,12/1/2017,3.42,-9999,-9999,-9999,0,0,RES,87114,NM,-9999
